,conf,i,j,out
2494,6,7009,7223,0.006232246887050
2495,6,9924,9942,0.003490780438100
2496,6,4126,4342,0.005326592201000
2497,6,3545,3681,0.002720065556680
2498,6,2782,2905,0.004234595909970
2499,6,3015,3145,0.004950821616910
2500,6,3263,3418,0.003725707856960
2501,6,10212,10226,0.003392989271310
2502,6,1336,1361,0.002652801144777
2503,6,8710,8765,0.002089186182020
2504,6,11064,11078,0.003702157074570
2505,6,8206,8224,0.002422033400480
2506,6,104,123,0.004584933757621
2507,6,6530,6760,0.002427785759420
2508,6,2856,2932,0.002372880727370
2509,6,6951,7184,0.007649915917520
2510,6,3412,3459,0.002474423483838
2511,6,3411,3459,0.002475392399690
2512,6,4257,4462,0.004162652958370
2513,6,5381,5576,0.006793768580380
2514,6,11360,11366,0.002388390644450
2515,6,9233,9362,0.003417050105730
2516,6,2903,3000,0.005093531094930
2517,6,8827,8863,0.002928561970980
2518,6,10232,10248,0.003426671002190
2519,6,10229,10243,0.003538050895870
2520,6,3844,4048,0.003984872534970
2521,6,9391,9429,0.002207849007390
2522,6,7918,7945,0.003863365887250
2523,6,9534,9536,0.002914844961990
2524,6,1813,1937,0.003446025838980
2525,6,2093,2252,0.003529529563710
2526,6,206,249,0.004616010700531
2527,6,101,114,0.003771633075260
2528,6,7784,7848,0.002577687509210
2529,6,1117,1119,0.003577321179290
2530,6,11234,11242,0.003505497542020
2531,6,8359,8365,0.002628333162270
2532,6,10216,10238,0.002635926039680
2533,6,3370,3531,0.004688872834539
2534,6,3971,4189,0.004470104558410
2535,6,2131,2163,0.003396736841070
2536,6,10209,10227,0.003301765960494
2537,6,8314,8364,0.002160254656770
2538,6,3340,3532,0.003437420681330
2539,6,1724,1756,0.003047463061557
2540,6,9541,9554,0.003140176596580
2541,6,2248,2272,0.003064885772520
2542,6,10591,10608,0.003026175862160
2543,6,3577,3673,0.003980369461250
2544,6,8332,8379,0.003329248433300
2545,6,4023,4231,0.005639067919860
2546,6,11076,11086,0.003675418698530
2547,6,3336,3458,0.002125259820440
2548,6,142,176,0.004215350929208
2549,6,11047,11062,0.003768769067300
2550,6,10269,10287,0.002457115260690
2551,6,2880,2908,0.003185681516350
2552,6,5429,5478,0.003914036053670
2553,6,364,390,0.003312917487870
2554,6,4472,4523,0.003382375778290
2555,6,3209,3367,0.003988524232470
2556,6,3427,3473,0.003227955699289
2557,6,10810,10814,0.002408555540170
2558,6,11374,11375,0.003485499553470
2559,6,1889,1891,0.003782225645440
2560,6,1751,1818,0.003765312636190
2561,6,9249,9253,0.002978683015190
2562,6,293,320,0.002730715285750
2563,6,10007,10009,0.002338408968110
2564,6,10206,10230,0.002939934448110
2565,6,1102,1132,0.002958250278105
2566,6,5321,5329,0.003582041838420
2567,6,3748,3886,0.004743156868660
2568,6,3914,4144,0.005635992093150
2569,6,9377,9416,0.002256298451980
2570,6,8149,8296,0.003539676384570
2571,6,9982,9999,0.003755698128110
2572,6,5092,5151,0.003235088308330
2573,6,9669,9676,0.003341113871510
2574,6,7099,7317,0.003378025349270
2575,6,1764,1769,0.003557738050960
2576,6,2890,2927,0.003300259195640
2577,6,8006,8049,0.003308278970360
2578,6,2186,2219,0.003104763121730
2579,6,5642,5869,0.002683211595240
2580,6,3485,3638,0.005288696320540
2581,6,921,925,0.003726539490284
2582,6,1676,1758,0.003389381843760
2583,6,8807,8855,0.003488458722020
2584,6,4074,4193,0.004396641042230
2585,6,93,95,0.002236643757980
2586,6,8664,8678,0.002520191043150
2587,6,3097,3207,0.005246546521980
2588,6,1877,1920,0.003459524975930
2589,6,8586,8736,0.002643391061670
2590,6,2241,2260,0.002955557505340
2591,6,8971,9001,0.003295394917400
2592,6,9442,9458,0.003490532637740
2593,6,4481,4483,0.003009216756820
2594,6,9178,9199,0.003634403331440
2595,6,5431,5596,0.004916678586360
2596,6,6553,6592,0.003063764474440
2597,6,3621,3716,0.003914904759550
2598,6,6428,6517,0.003836617695040
2599,6,3712,3724,0.002927567583384
2600,6,8308,8317,0.002640063071490
2601,6,8673,8753,0.002314610450670
2602,6,912,914,0.003673286534613
2603,6,6620,6701,0.003121030946400
2604,6,11045,11082,0.004504078342560
2605,6,2144,2179,0.003711200309572
2606,6,8210,8212,0.003976319806490
2607,6,1111,1137,0.002686219139880
2608,6,956,973,0.003470554089580
2609,6,51,60,0.002673608160800
2610,9,7434,7485,0.003561196727580
2611,9,7484,7488,0.003348041769120
2612,9,3653,3733,0.006068245007920
2613,9,9169,9172,0.002562376137510
2614,9,7529,7600,0.002637200121550
2615,9,2909,3004,0.003251148202230
2616,9,8182,8247,0.004268060531630
2617,9,7047,7154,0.002748209315890
2618,9,2535,2588,0.005425514643350
2619,9,5918,5942,0.003223997008920
2620,9,5152,5274,0.002602402099980
2621,9,6018,6135,0.004089753985310
2622,9,7846,7850,0.002113401119500
2623,9,521,553,0.001398090430320
2624,9,1370,1435,0.004070366632648
2625,9,8336,8392,0.005569495063730
2626,9,5215,5232,0.003677681770760
2627,9,6617,6748,0.005694651502260
2628,9,4405,4545,0.004466421979390
2629,9,5468,5566,0.003955251503810
2630,9,5051,5053,0.002850080355630
2631,9,6736,6762,0.003115412380590
2632,9,9132,9138,0.002631039517950
2633,9,2641,2677,0.006296362497528
2634,9,1674,1750,0.004882333535710
2635,9,4237,4258,0.003063464708910
2636,9,7261,7326,0.002998701851160
2637,9,7735,7799,0.005950576397780
2638,9,4954,4957,0.002998962616520
2639,9,2053,2159,0.004532746719581
2640,9,6584,6640,0.003313455554490
2641,9,9021,9059,0.004306128783260
2642,9,7589,7617,0.003126263531140
2643,9,926,982,0.003896326545570
2644,9,6607,6652,0.003535523120640
2645,9,5773,5900,0.002366019731530
2646,9,5502,5536,0.002254361371300
2647,9,4015,4063,0.003819169253700
2648,9,7361,7407,0.003413025108200
2649,9,184,189,0.003060853223500
2650,9,8146,8209,0.003926091168120
2651,9,6135,6149,0.004475411028880
2652,9,6343,6355,0.003554701719150
2653,9,1803,1861,0.002949674251760
2654,9,2392,2440,0.003569977475670
2655,9,3932,4060,0.003444086789390
2656,9,8905,8925,0.003126984534350
2657,9,2008,2091,0.003826834737900
2658,9,1962,2057,0.004892045976610
2659,9,7076,7180,0.004049787329680
2660,9,5414,5446,0.002570967796100
2661,9,5119,5148,0.003960821464081
2662,9,6438,6447,0.002539475469240
2663,9,5475,5589,0.004565533163800
2664,9,2500,2584,0.004415592212520
2665,9,6810,6883,0.002634788869510
2666,9,5597,5768,0.003293914702260
2667,9,5252,5360,0.004261174422170
2668,9,6610,6619,0.004968230017750
2669,9,5806,5860,0.003344349407900
2670,9,6610,6620,0.003553205236920
